year,class,round,session,pos,rider_id,number,team,maker,points,result
2010,MotoGP,11,RAC,1,dani-pedrosa,26,Repsol Honda Team,ホンダ,25,FIN
2010,MotoGP,11,RAC,2,ben-spies,11,Monster Yamaha Tech 3,ヤマハ,20,FIN
2010,MotoGP,11,RAC,3,jorge-lorenzo,99,Fiat Yamaha Team,ヤマハ,16,FIN
2010,MotoGP,11,RAC,4,valentino-rossi,46,Fiat Yamaha Team,ヤマハ,13,FIN
2010,MotoGP,11,RAC,5,andrea-dovizioso,4,Repsol Honda Team,ホンダ,11,FIN
2010,MotoGP,11,RAC,6,nicky-hayden,69,Ducati Team,ドゥカティ,10,FIN
2010,MotoGP,11,RAC,7,marco-simoncelli,58,San Carlo Honda Gresini,ホンダ,9,FIN
2010,MotoGP,11,RAC,8,alvaro-bautista,19,Rizla Suzuki MotoGP,スズキ,8,FIN
2010,MotoGP,11,RAC,9,aleix-espargaro,41,Pramac Racing Team,ドゥカティ,7,FIN
2010,MotoGP,11,RAC,10,hector-barbera,40,Paginas Amarillas Aspar,ドゥカティ,6,FIN
2010,MotoGP,11,RAC,11,loris-capirossi,65,Rizla Suzuki MotoGP,スズキ,5,FIN
2010,MotoGP,11,RAC,12,hiroshi-aoyama,7,Interwetten Honda MotoGP,ホンダ,4,FIN
2010,MotoGP,11,RAC,13,randy-de-puniet,14,LCR Honda MotoGP,ホンダ,3,FIN
2010,MotoGP,11,RAC,,mika-kallio,36,Pramac Racing Team,ドゥカティ,,DNF
2010,MotoGP,11,RAC,,colin-edwards,5,Monster Yamaha Tech 3,ヤマハ,,DNF
2010,MotoGP,11,RAC,,casey-stoner,27,Ducati Team,ドゥカティ,,DNF
2010,MotoGP,11,RAC,,marco-melandri,33,San Carlo Honda Gresini,ホンダ,,DNF
2010,MotoGP,12,RAC,1,dani-pedrosa,26,Repsol Honda Team,ホンダ,25,FIN
2010,MotoGP,12,RAC,2,jorge-lorenzo,99,Fiat Yamaha Team,ヤマハ,20,FIN
2010,MotoGP,12,RAC,3,valentino-rossi,46,Fiat Yamaha Team,ヤマハ,16,FIN
2010,MotoGP,12,RAC,4,andrea-dovizioso,4,Repsol Honda Team,ホンダ,13,FIN
2010,MotoGP,12,RAC,5,casey-stoner,27,Ducati Team,ドゥカティ,11,FIN
2010,MotoGP,12,RAC,6,ben-spies,11,Monster Yamaha Tech 3,ヤマハ,10,FIN
2010,MotoGP,12,RAC,7,colin-edwards,5,Monster Yamaha Tech 3,ヤマハ,9,FIN
2010,MotoGP,12,RAC,8,alvaro-bautista,19,Rizla Suzuki MotoGP,スズキ,8,FIN
2010,MotoGP,12,RAC,9,hector-barbera,40,Paginas Amarillas Aspar,ドゥカティ,7,FIN
2010,MotoGP,12,RAC,10,marco-melandri,33,San Carlo Honda Gresini,ホンダ,6,FIN
2010,MotoGP,12,RAC,11,aleix-espargaro,41,Pramac Racing Team,ドゥカティ,5,FIN
2010,MotoGP,12,RAC,12,hiroshi-aoyama,7,Interwetten Honda MotoGP,ホンダ,4,FIN
2010,MotoGP,12,RAC,13,randy-de-puniet,14,LCR Honda MotoGP,ホンダ,3,FIN
2010,MotoGP,12,RAC,14,marco-simoncelli,58,San Carlo Honda Gresini,ホンダ,2,FIN
2010,MotoGP,12,RAC,,mika-kallio,36,Pramac Racing Team,ドゥカティ,,DNF
2010,MotoGP,12,RAC,,nicky-hayden,69,Ducati Team,ドゥカティ,,DNF
2010,MotoGP,12,RAC,,loris-capirossi,65,Rizla Suzuki MotoGP,スズキ,,DNF
2010,MotoGP,13,RAC,1,casey-stoner,27,Ducati Team,ドゥカティ,25,FIN
2010,MotoGP,13,RAC,2,dani-pedrosa,26,Repsol Honda Team,ホンダ,20,FIN
2010,MotoGP,13,RAC,3,nicky-hayden,69,Ducati Team,ドゥカティ,16,FIN
2010,MotoGP,13,RAC,4,jorge-lorenzo,99,Fiat Yamaha Team,ヤマハ,13,FIN
2010,MotoGP,13,RAC,5,ben-spies,11,Monster Yamaha Tech 3,ヤマハ,11,FIN
2010,MotoGP,13,RAC,6,valentino-rossi,46,Fiat Yamaha Team,ヤマハ,10,FIN
2010,MotoGP,13,RAC,7,marco-simoncelli,58,San Carlo Honda Gresini,ホンダ,9,FIN
2010,MotoGP,13,RAC,8,alvaro-bautista,19,Rizla Suzuki MotoGP,スズキ,8,FIN
2010,MotoGP,13,RAC,9,marco-melandri,33,San Carlo Honda Gresini,ホンダ,7,FIN
2010,MotoGP,13,RAC,10,aleix-espargaro,41,Pramac Racing Team,ドゥカティ,6,FIN
2010,MotoGP,13,RAC,11,hector-barbera,40,Paginas Amarillas Aspar,ドゥカティ,5,FIN
2010,MotoGP,13,RAC,12,colin-edwards,5,Monster Yamaha Tech 3,ヤマハ,4,FIN
2010,MotoGP,13,RAC,13,hiroshi-aoyama,7,Interwetten Honda MotoGP,ホンダ,3,FIN
2010,MotoGP,13,RAC,14,mika-kallio,36,Pramac Racing Team,ドゥカティ,2,FIN
2010,MotoGP,13,RAC,,andrea-dovizioso,4,Repsol Honda Team,ホンダ,,DNF
2010,MotoGP,13,RAC,,randy-de-puniet,14,LCR Honda MotoGP,ホンダ,,DNF
2010,MotoGP,14,RAC,1,casey-stoner,27,Ducati Team,ドゥカティ,25,FIN
2010,MotoGP,14,RAC,2,andrea-dovizioso,4,Repsol Honda Team,ホンダ,20,FIN
2010,MotoGP,14,RAC,3,valentino-rossi,46,Fiat Yamaha Team,ヤマハ,16,FIN
2010,MotoGP,14,RAC,4,jorge-lorenzo,99,Fiat Yamaha Team,ヤマハ,13,FIN
2010,MotoGP,14,RAC,5,colin-edwards,5,Monster Yamaha Tech 3,ヤマハ,11,FIN
2010,MotoGP,14,RAC,6,marco-simoncelli,58,San Carlo Honda Gresini,ホンダ,10,FIN
2010,MotoGP,14,RAC,7,alvaro-bautista,19,Rizla Suzuki MotoGP,スズキ,9,FIN
2010,MotoGP,14,RAC,8,ben-spies,11,Monster Yamaha Tech 3,ヤマハ,8,FIN
2010,MotoGP,14,RAC,9,randy-de-puniet,14,LCR Honda MotoGP,ホンダ,7,FIN
2010,MotoGP,14,RAC,10,hiroshi-aoyama,7,Interwetten Honda MotoGP,ホンダ,6,FIN
2010,MotoGP,14,RAC,11,marco-melandri,33,San Carlo Honda Gresini,ホンダ,5,FIN
2010,MotoGP,14,RAC,12,nicky-hayden,69,Ducati Team,ドゥカティ,4,FIN
2010,MotoGP,14,RAC,13,hector-barbera,40,Paginas Amarillas Aspar,ドゥカティ,3,FIN
2010,MotoGP,14,RAC,14,aleix-espargaro,41,Pramac Racing Team,ドゥカティ,2,FIN
2010,MotoGP,14,RAC,15,mika-kallio,36,Pramac Racing Team,ドゥカティ,1,FIN
2010,MotoGP,14,RAC,,loris-capirossi,65,Rizla Suzuki MotoGP,スズキ,,DNF
2010,MotoGP,15,RAC,1,valentino-rossi,46,Fiat Yamaha Team,ヤマハ,25,FIN
2010,MotoGP,15,RAC,2,andrea-dovizioso,4,Repsol Honda Team,ホンダ,20,FIN
2010,MotoGP,15,RAC,3,jorge-lorenzo,99,Fiat Yamaha Team,ヤマハ,16,FIN
2010,MotoGP,15,RAC,4,ben-spies,11,Monster Yamaha Tech 3,ヤマハ,13,FIN
2010,MotoGP,15,RAC,5,alvaro-bautista,19,Rizla Suzuki MotoGP,スズキ,11,FIN
2010,MotoGP,15,RAC,6,nicky-hayden,69,Ducati Team,ドゥカティ,10,FIN
2010,MotoGP,15,RAC,7,hiroshi-aoyama,7,Interwetten Honda MotoGP,ホンダ,9,FIN
2010,MotoGP,15,RAC,8,marco-simoncelli,58,San Carlo Honda Gresini,ホンダ,8,FIN
2010,MotoGP,15,RAC,9,marco-melandri,33,San Carlo Honda Gresini,ホンダ,7,FIN
2010,MotoGP,15,RAC,10,randy-de-puniet,14,LCR Honda MotoGP,ホンダ,6,FIN
2010,MotoGP,15,RAC,11,hector-barbera,40,Paginas Amarillas Aspar,ドゥカティ,5,FIN
2010,MotoGP,15,RAC,12,mika-kallio,36,Pramac Racing Team,ドゥカティ,4,FIN
2010,MotoGP,15,RAC,,colin-edwards,5,Monster Yamaha Tech 3,ヤマハ,,DNF
2010,MotoGP,15,RAC,,aleix-espargaro,41,Pramac Racing Team,ドゥカティ,,DNF
2010,MotoGP,15,RAC,,loris-capirossi,65,Rizla Suzuki MotoGP,スズキ,,DNF
2010,MotoGP,15,RAC,,casey-stoner,27,Ducati Team,ドゥカティ,,DNF
2010,MotoGP,16,RAC,1,casey-stoner,27,Ducati Team,ドゥカティ,25,FIN
2010,MotoGP,16,RAC,2,jorge-lorenzo,99,Fiat Yamaha Team,ヤマハ,20,FIN
2010,MotoGP,16,RAC,3,valentino-rossi,46,Fiat Yamaha Team,ヤマハ,16,FIN
2010,MotoGP,16,RAC,4,nicky-hayden,69,Ducati Team,ドゥカティ,13,FIN
2010,MotoGP,16,RAC,5,ben-spies,11,Monster Yamaha Tech 3,ヤマハ,11,FIN
2010,MotoGP,16,RAC,6,marco-simoncelli,58,San Carlo Honda Gresini,ホンダ,10,FIN
2010,MotoGP,16,RAC,7,colin-edwards,5,Monster Yamaha Tech 3,ヤマハ,9,FIN
2010,MotoGP,16,RAC,8,aleix-espargaro,41,Pramac Racing Team,ドゥカティ,8,FIN
2010,MotoGP,16,RAC,9,marco-melandri,33,San Carlo Honda Gresini,ホンダ,7,FIN
2010,MotoGP,16,RAC,10,randy-de-puniet,14,LCR Honda MotoGP,ホンダ,6,FIN
2010,MotoGP,16,RAC,11,mika-kallio,36,Pramac Racing Team,ドゥカティ,5,FIN
2010,MotoGP,16,RAC,12,alvaro-bautista,19,Rizla Suzuki MotoGP,スズキ,4,FIN
2010,MotoGP,16,RAC,13,hiroshi-aoyama,7,Interwetten Honda MotoGP,ホンダ,3,FIN
2010,MotoGP,16,RAC,14,hector-barbera,40,Paginas Amarillas Aspar,ドゥカティ,2,FIN
2010,MotoGP,16,RAC,,andrea-dovizioso,4,Repsol Honda Team,ホンダ,,DNF
2010,MotoGP,17,RAC,1,jorge-lorenzo,99,Fiat Yamaha Team,ヤマハ,25,FIN
2010,MotoGP,17,RAC,2,valentino-rossi,46,Fiat Yamaha Team,ヤマハ,20,FIN
2010,MotoGP,17,RAC,3,andrea-dovizioso,4,Repsol Honda Team,ホンダ,16,FIN
