year,class,rider_id,team_id,entry_name,maker,machine,number,rank,points,status
2006,MotoGP,colin-edwards,yamaha-factory,Camel Yamaha Team,ヤマハ,YZR-M1,,7,124,確認済
2006,MotoGP,casey-stoner,lcr,Honda LCR,ホンダ,RC211V,,8,119,確認済
2006,MotoGP,toni-elias,gresini,Fortuna Honda,ホンダ,RC211V,,9,116,確認済
2006,MotoGP,john-hopkins,suzuki-factory,Rizla Suzuki MotoGP,スズキ,GSV-R,,10,116,確認済
2006,MotoGP,chris-vermeulen,suzuki-factory,Rizla Suzuki MotoGP,スズキ,GSV-R,,11,98,確認済
2006,MotoGP,makoto-tamada,jir,Konica Minolta Honda,ホンダ,RC211V,,12,96,確認済
2006,MotoGP,sete-gibernau,ducati-lenovo,Ducati Marlboro Team,ドゥカティ,デスモセディチ,,13,95,確認済
2006,MotoGP,shinya-nakano,kawasaki-factory,Kawasaki Racing Team,カワサキ,ZX-RR,,14,92,確認済
2006,MotoGP,carlos-checa,tech3,Tech 3 Yamaha,ヤマハ,YZR-M1,,15,75,確認済
2006,MotoGP,randy-de-puniet,kawasaki-factory,Kawasaki Racing Team,カワサキ,ZX-RR,,16,37,確認済
2006,MotoGP,alex-hofmann,pramac,Pramac d'Antin MotoGP,ドゥカティ,デスモセディチ,,17,30,確認済
2006,MotoGP,james-ellison,tech3,Tech 3 Yamaha,ヤマハ,YZR-M1,,18,26,確認済
2006,MotoGP,troy-bayliss,ducati-lenovo,Ducati Marlboro Team,ドゥカティ,デスモセディチ,,19,25,確認済
2006,MotoGP,jose-luis-cardoso,pramac,Pramac d'Antin MotoGP,ドゥカティ,デスモセディチ,,20,10,確認済
2006,MotoGP,kousuke-akiyoshi,suzuki-factory,Team Suzuki MotoGP,スズキ,GSV-R,,21,3,確認済
2006,MotoGP,garry-mccoy,srt-rnf,Ilmor SRT,ヤマハ,YZR-M1,,22,2,確認済
2007,MotoGP,casey-stoner,ducati-lenovo,Ducati Marlboro Team,ドゥカティ,デスモセディチ,,1,367,確認済
2007,MotoGP,dani-pedrosa,honda-hrc,Repsol Honda Team,ホンダ,RC212V,,2,242,確認済
2007,MotoGP,valentino-rossi,yamaha-factory,Fiat Yamaha Team,ヤマハ,YZR-M1,,3,241,確認済
2007,MotoGP,john-hopkins,suzuki-factory,Rizla Suzuki MotoGP,スズキ,GSV-R,,4,189,確認済
2007,MotoGP,chris-vermeulen,suzuki-factory,Rizla Suzuki MotoGP,スズキ,GSV-R,,5,184,確認済
2007,MotoGP,marco-melandri,gresini,Honda Gresini,ホンダ,RC212V,,6,160,確認済
2007,MotoGP,loris-capirossi,ducati-lenovo,Ducati Marlboro Team,ドゥカティ,デスモセディチ,,7,155,確認済
2007,MotoGP,colin-edwards,yamaha-factory,Fiat Yamaha Team,ヤマハ,YZR-M1,,8,149,確認済
2007,MotoGP,nicky-hayden,honda-hrc,Repsol Honda Team,ホンダ,RC212V,,9,127,確認済
2007,MotoGP,carlos-checa,lcr,Honda LCR,ホンダ,RC212V,,10,117,確認済
2007,MotoGP,randy-de-puniet,kawasaki-factory,Kawasaki Racing Team,カワサキ,ZX-RR,,11,102,確認済
2007,MotoGP,toni-elias,gresini,Honda Gresini,ホンダ,RC212V,,12,98,確認済
2007,MotoGP,sylvain-guintoli,tech3,Dunlop Yamaha Tech 3,ヤマハ,YZR-M1,,13,75,確認済
2007,MotoGP,shinya-nakano,jir,Konica Minolta Honda,ホンダ,RC212V,,14,72,確認済
